Day,Date,Time,Latitude,Longitude,DepthInKilo,Magnitude,Quality,DistanceInKilo,Direction,Volcano
Friday,7/10/2016,17:49:09,63.818,-22.983,6.6,1.2,87.97,8.6,N,Eldey
Friday,7/10/2016,14:22:17,63.722,-23.131,10,1.8,99,4.7,NE,Geirfuglasker
Friday,7/10/2016,14:00:05,63.729,-23.14,10.2,1.7,99,4.9,NE,Geirfuglasker
Friday,7/10/2016,13:57:50,63.733,-23.128,12.7,1.5,99,5.6,NE,Geirfuglasker
Friday,7/10/2016,13:41:38,66.28,-16.999,6.6,0.9,99,24.6,W,Kópasker
Friday,7/10/2016,13:38:41,66.24,-16.666,4.5,0.7,99,11.8,SW,Kópasker
Friday,7/10/2016,13:38:22,66.881,-16.779,5.2,0.7,31.58,65.9,NE,Grímsey
Friday,7/10/2016,12:34:57,64.526,-17.381,1.1,0.8,99,14.4,NNW,Grímsfjall
Friday,7/10/2016,12:33:18,64.635,-17.514,4.1,1.8,99,0.8,SE,Bárðarbunga
Friday,7/10/2016,11:49:13,64.649,-17.472,4.4,1.2,99,2.8,ENE,Bárðarbunga
Friday,7/10/2016,11:48:51,64.631,-17.519,3.1,1.7,99,1.1,SSE,Bárðarbunga
Friday,7/10/2016,11:25:41,63.621,-19.112,1,1,99,4.5,N,Hábunga
Friday,7/10/2016,9:41:02,66.288,-17.556,13.3,0.6,99,18.6,NE,Flatey
Friday,7/10/2016,9:32:39,65.723,-16.811,5.8,0.6,99,2.8,WNW,Krafluvirkjun
Friday,7/10/2016,7:36:28,63.62,-19.108,0.1,1,99,4.4,N,Hábunga
Friday,7/10/2016,6:48:05,63.89,-22.208,7.4,1,99,3.5,ESE,Fagradalsfjall
Friday,7/10/2016,5:21:20,66.279,-17.524,13.2,0.5,99,18.9,NE,Flatey
Friday,7/10/2016,4:52:43,63.621,-19.104,0.1,1,99,4.5,N,Hábunga
Friday,7/10/2016,4:40:49,66.243,-18.382,7,1,99,9.3,NW,Gjögurtá
Friday,7/10/2016,4:30:20,63.623,-19.093,0.1,2,99,4.8,N,Hábunga
Friday,7/10/2016,4:28:42,64.608,-17.519,2.6,0.9,99,3.6,S,Bárðarbunga
Friday,7/10/2016,4:22:24,64.624,-17.509,2.9,1.6,99,2,SSE,Bárðarbunga
Friday,7/10/2016,3:07:20,63.642,-19.105,0.1,0.9,99,6.9,N,Hábunga
Friday,7/10/2016,2:52:21,66.827,-18.375,10,1.5,99,35.5,NNW,Grímsey
Friday,7/10/2016,0:45:42,63.629,-19.111,0.1,0.7,99,5.5,N,Hábunga
Friday,7/10/2016,0:11:37,63.618,-19.141,0.6,1.4,99,4.7,NNW,Eyjafjallajökull
Friday,7/10/2016,23:36:02,66.28,-16.993,7.3,1,99,24.3,W,Kópasker
Friday,7/10/2016,23:35:14,66.646,-17.93,11.9,1.4,99,12.1,NNE,Grímsey
Friday,7/10/2016,23:30:41,63.952,-20.967,5.1,0.4,99,2.4,NE,Selfoss
Friday,7/10/2016,23:15:38,66.336,-16.959,9.4,0.6,99,22.9,W,Kópasker
Friday,7/10/2016,22:58:28,66.638,-17.867,9.1,0.6,99,12.4,NNE,Grímsey
Friday,7/10/2016,22:15:13,65.015,-16.698,2.8,0.1,99,5.1,WSW,Dreki
Friday,7/10/2016,17:53:16,63.995,-20.172,7.8,0.9,99,6.6,SE,Árnes
Friday,7/10/2016,17:49:09,63.813,-22.964,8.2,1.7,99,8,N,Eldey
Friday,7/10/2016,17:46:49,65.709,-16.815,2.6,0.6,99,2.7,W,Krafluvirkjun
Friday,7/10/2016,16:04:47,66.28,-16.997,5.7,0.7,99,24.5,W,Kópasker
Friday,7/10/2016,14:25:45,64.826,-16.86,7.8,0.1,99,17.2,ENE,Kistufell
Friday,7/10/2016,14:25:12,66.277,-16.998,9.4,0.7,99,24.6,W,Kópasker
Friday,7/10/2016,11:25:41,63.621,-19.112,1,1,99,4.5,N,Eyjafjallajökull
Friday,7/10/2016,7:36:28,63.62,-19.108,0.1,1,99,4.4,N,Eyjafjallajökull
Friday,7/10/2016,0:45:42,63.629,-19.111,0.1,0.7,99,5.5,N,Eyjafjallajökull
Friday,30/09/2016,20:54:38,63.642,-19.124,0.1,3,99,6.2,E,Goðabunga
Friday,30/09/2016,20:43:55,63.611,-19.103,1.1,0.5,90.02,3.4,N,Hábunga
Friday,30/09/2016,20:33:07,63.61,-19.148,1.1,1,90.05,4.1,NW,Hábunga
Friday,30/09/2016,19:47:18,63.608,-19.101,1.1,0.8,90.04,3.1,N,Eyjafjallajökull
Friday,30/09/2016,19:25:19,63.875,-22.298,3.6,0.6,90.01,3.3,SSW,Fagradalsfjall
Friday,30/09/2016,19:24:31,63.614,-19.113,1.1,0.1,90.01,3.8,N,Eyjafjallajökull
Friday,30/09/2016,19:22:11,63.614,-19.089,1.1,0.2,75.93,3.8,N,Eyjafjallajökull
Friday,30/09/2016,19:11:34,64.497,-17.673,4.9,1.6,90.04,6.6,E,Hamarinn
Friday,30/09/2016,19:01:30,63.621,-19.108,1.1,0.1,90.01,4.6,N,Hábunga
Friday,30/09/2016,18:55:54,64.682,-17.463,3.8,0.8,73.07,5.6,NNE,Bárðarbunga
Friday,30/09/2016,18:47:16,63.624,-19.08,1.1,0.1,88.38,5,NNE,Hábunga
Friday,30/09/2016,18:16:39,63.609,-19.108,1.1,0.8,90.03,3.2,N,Hábunga
Friday,30/09/2016,18:15:05,63.611,-19.136,1.1,0.8,90.04,3.9,NNW,Hábunga
Friday,30/09/2016,18:06:56,63.608,-19.121,1.1,1,90.06,3.3,NNW,Hábunga
Friday,30/09/2016,17:33:42,63.611,-19.115,1.1,0.6,90.03,3.5,NNW,Hábunga
Friday,30/09/2016,16:48:18,63.607,-19.139,1.1,1,90.07,3.6,NNW,Hábunga
Friday,30/09/2016,16:38:09,63.619,-19.103,1.1,0.4,90.01,4.3,N,Hábunga
Friday,30/09/2016,16:12:01,63.934,-20.769,3.6,0.4,83.87,5.7,W,Þjórsárbrú
Friday,30/09/2016,15:40:02,63.625,-19.121,1.1,0.1,90.01,5.1,NNW,Hábunga
Friday,30/09/2016,14:49:01,63.612,-19.116,1.1,1,90.05,3.6,NNW,Grenivík
Friday,30/09/2016,14:25:15,65.087,-16.809,3.8,0.2,50.11,6.6,SSE,Lokatindur
Friday,30/09/2016,14:23:26,63.633,-19.106,0.1,1.1,99,5.9,N,Hábunga
Friday,30/09/2016,13:59:25,63.622,-19.12,0.1,1,99,4.8,NNW,Hábunga
Friday,30/09/2016,13:39:19,66.563,-17.742,13.2,1.5,99,12,ENE,Grímsey
Friday,30/09/2016,12:55:52,63.62,-19.148,0.1,0.3,99,5,NNW,Hábunga
Friday,30/09/2016,12:45:51,63.617,-19.137,0.1,0.2,99,4.5,NNW,Hábunga
Friday,30/09/2016,12:38:21,63.626,-19.114,0.1,0.4,99,5.1,N,Hábunga
Friday,30/09/2016,12:26:35,63.624,-19.13,0.1,0.6,99,5.1,NNW,Hábunga
Friday,30/09/2016,12:19:51,63.619,-19.17,0.1,0.4,99,4.6,ESE,Goðabunga
Friday,30/09/2016,12:16:59,63.626,-19.137,0.1,0.6,99,5.4,NNW,Hábunga
Friday,30/09/2016,12:15:33,63.616,-19.144,0.1,1.4,99,4.6,NNW,Hábunga
Friday,30/09/2016,12:14:38,63.616,-19.145,0.3,1.5,99,4.6,NNW,Hábunga
Friday,30/09/2016,12:13:25,63.614,-19.151,0.2,3.2,99,4.6,NW,Eyjafjallajökull
Friday,30/09/2016,12:11:40,63.622,-19.121,1.1,0.6,90.01,4.8,NNW,Hábunga
Friday,30/09/2016,12:10:55,63.619,-19.129,0,3.2,99,4.5,NNW,Hábunga
Friday,30/09/2016,12:09:18,63.623,-19.105,0,3.6,99,4.8,N,Hábunga
Friday,30/09/2016,12:07:37,63.62,-19.111,0,3.6,99,4.4,N,Hábunga
Friday,30/09/2016,12:02:37,63.619,-19.176,1.1,2.2,90.07,4.3,ESE,Goðabunga
Friday,30/09/2016,12:02:36,63.625,-19.112,0.1,2.9,99,5.1,N,Hábunga
Friday,30/09/2016,11:59:45,64.796,-16.903,3.1,0.3,99,14.5,E,Kistufell
Friday,30/09/2016,11:37:37,64.396,-17.344,3.6,0.8,99,3.5,WSW,Grímsfjall
Friday,30/09/2016,11:27:04,65.193,-16.282,0.1,0.7,99,2.3,W,Herðubreiðarlindir
Friday,30/09/2016,11:07:16,63.609,-19.11,1.1,0.5,90.02,3.3,N,Eyjafjallajökull
Friday,30/09/2016,11:06:23,63.622,-19.101,0.1,1.4,99,4.7,N,Hábunga
Friday,30/09/2016,11:03:35,63.625,-19.128,1.1,0.1,71.16,5.2,NNW,Hábunga
Friday,30/09/2016,10:39:06,65.025,-16.674,3,0.2,99,3.5,WSW,Dreki
Friday,30/09/2016,10:22:23,64.681,-17.459,3.4,0.4,99,5.6,NE,Bárðarbunga
Friday,30/09/2016,9:57:38,63.621,-19.119,0.1,1.5,99,4.7,NNW,Hábunga
Friday,30/09/2016,9:55:40,63.625,-19.115,0.1,1.5,99,5.1,N,Hábunga
Friday,30/09/2016,9:53:17,63.621,-19.117,0.1,1,99,4.7,N,Hábunga
Friday,30/09/2016,9:48:09,63.99,-20.697,7,0.3,99,3.5,SSW,Hestfjall
Friday,30/09/2016,9:43:10,63.936,-21.702,10.1,0.4,99,5.9,SSW,Bláfjallaskáli
Friday,30/09/2016,9:40:01,63.947,-21.048,7.1,0.5,99,2.3,WNW,Selfoss
Friday,30/09/2016,9:37:27,63.614,-19.123,0.1,1.4,99,4,NNW,Hábunga
Friday,30/09/2016,9:18:46,63.636,-19.102,0.1,1.8,99,6.2,N,Hábunga
Friday,30/09/2016,9:12:14,63.641,-19.111,0.1,0.9,99,6.8,N,Hábunga
Friday,30/09/2016,9:11:16,63.638,-19.107,0.1,1.1,99,6.5,N,Hábunga
Friday,30/09/2016,8:59:04,63.621,-19.109,0.1,1.4,99,4.6,N,Hábunga
